response_timestamp,institute,status,assets_brought,attended_before,nickname,ping_pong,basketball,running_sprints,volleyball,football,tennis,badminton,spikeball,chess,capture_the_flag,beer_pong,foosball,ping_pong_days,num_sports,late_entry,confirmation_status,Team,subteam_ping_pong,subteam_basketball,subteam_running_sprints,subteam_volleyball,subteam_football,subteam_tennis,subteam_badminton,subteam_spikeball,subteam_capture_the_flag,subteam_chess,subteam_beer_pong,subteam_foosball,num_sports_attending,attendance_ratio,picture_consent,has_paid_fee,dropout_sports,num_dropout_sports,confirm_date,is_full_dropout,has_confirmed
2025-03-31 09:06:40,MPA,PostDoc,,True,Illiterate Caterpillar,True,False,False,False,False,False,False,False,False,False,True,True,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",3,False,False,Team B,23,,,,,,,,,,3,2,3,1.0,,True,[],0,2025-04-30,False,True
2025-04-04 22:40:04,USM/LMU,PhD,,False,Cute Frog,True,False,False,False,False,False,False,False,False,False,True,True,"['monday', 'friday']",3,False,False,Team B,09,,,,,,,,,,5,1,3,1.0,,True,[],0,2025-04-30,False,True
2025-04-01 22:24:57,USM/LMU,Other,,False,Lean Siamese,False,False,False,True,True,False,False,False,False,True,False,False,[],3,False,False,Team B,,,,R,2,,,,2,,,,2,0.6666666666666666,,True,[],0,2025-05-01,False,True
2025-04-04 18:46:29,MPE,PhD,,True,Blue Molly,True,False,False,True,False,False,False,True,False,False,False,False,['thursday'],3,False,False,Team B,22,,,R,,,,5,,,,,2,0.6666666666666666,,True,[],0,2025-04-28,False,True
2025-04-03 08:31:40,MPE,PostDoc,,False,Fumbling Crocodile,True,False,False,False,True,False,False,False,False,True,False,False,"['monday', 'wednesday']",3,False,False,Team B,20,,,,1,,,,D,,,,3,1.0,,True,['capture_the_flag'],1,2025-04-23,False,True
2025-04-03 11:46:59,MPE,Other,Tennis balls,False,Decent Gopher,False,False,False,True,False,True,True,False,False,False,False,False,[],3,False,False,Team B,,,,R,,4,D,,,,,,2,0.6666666666666666,,True,[],0,2025-05-01,False,True
2025-03-11 18:46:14,IPP,PostDoc,"Beachvolley ball, basketball ball",True,Affectionate Chihuahua,False,True,False,True,False,False,False,True,False,False,False,False,[],3,False,False,Team B,,D,,R,,,,2,,,,,2,0.6666666666666666,,True,['basketball'],1,2025-04-23,False,True
2025-03-27 15:23:31,MPQ,PhD,,False,Overlooked Bobcat,True,False,False,False,False,False,True,False,True,False,False,False,['friday'],3,False,False,Team B,25,,,,,,1,,,4,,,3,1.0,,True,[],0,2025-04-23,False,True
2025-03-28 15:25:28,ESO,PostDoc,My tennis racket and balls,False,Frosty Millipede,True,False,False,False,False,True,False,False,True,False,False,False,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",3,False,False,Team B,10,,,,,3,,,,3,,,3,1.0,,True,[],0,2025-04-30,False,True
2025-03-21 14:50:12,IPP,PhD,,False,Back Shark,False,False,False,True,False,False,False,True,False,False,True,False,[],3,False,False,Team B,,,,R,,,,4,,,3,,2,0.6666666666666666,,True,[],0,2025-04-23,False,True
2025-03-19 08:30:29,MPP,PhD,,False,Edible Bloodhound,False,False,False,True,True,False,False,False,False,False,True,False,[],3,False,False,Team B,,,,R,1,,,,,,1,,2,0.6666666666666666,,True,[],0,2025-04-28,False,True
2025-03-17 19:33:23,IPP,Other,,True,Delirious Robin,False,False,False,False,True,False,False,False,False,False,True,False,[],2,False,False,Team B,,,,,2,,,,,,2,,2,1.0,,True,[],0,2025-04-23,False,True
2025-04-04 09:49:11,MPE,PhD,,True,Reflecting Pug,False,False,False,True,False,False,True,False,False,False,False,False,[],2,False,False,Team B,,,,1,,,2,,,,,,1,0.5,,True,[],0,2025-04-23,False,True
2025-04-03 21:22:19,MPA,PhD,,False,Well-lit Bat,False,False,False,False,False,False,False,False,False,True,False,True,[],2,False,False,Team B,,,,,,,,,2,,,4,2,1.0,,True,[],0,2025-04-28,False,True
2025-03-29 12:13:07,MPA,PhD,,False,Silent Wolffish,True,False,False,False,False,False,False,False,False,False,True,False,['monday'],2,False,False,Team B,05,,,,,,,,,,4,,2,1.0,,True,[],0,2025-04-23,False,True
2025-04-04 09:53:44,IPP,PhD,,False,Odd Puma,False,False,False,True,False,False,False,False,False,True,False,False,[],2,False,False,Team B,,,,R,,,,,D,,,,1,0.5,,True,['capture_the_flag'],1,2025-04-23,False,True
2025-03-19 01:22:59,MPE,PostDoc,A basketball ,True,Alarmed Bird,False,True,False,False,False,False,False,False,False,False,False,False,[],2,False,False,Team B,,R,,,,,,,,,,,0,0.0,,True,[],0,2025-04-30,False,True
2025-03-13 11:15:41,IPP,PhD,,True,Infantile Chinchilla,False,False,False,False,True,False,True,False,False,False,False,False,[],2,False,False,Team B,,,,,1,,4,,,,,,2,1.0,,True,[],0,2025-04-28,False,True
2025-04-06 10:38:48,MPA,PhD,,True,Delayed Grouse,True,False,False,False,False,False,False,False,False,False,False,True,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",2,False,False,Team B,12,,,,,,,,,,,D,2,1.0,,True,['foosball'],1,2025-05-01,False,True
2025-04-04 16:11:17,MPP,PostDoc,,False,Forthright Utonagan,False,False,False,False,False,False,False,False,False,False,True,True,[],2,False,False,Team B,,,,,,,,,,,R,6,1,0.5,,True,[],0,,False,False
2025-03-10 18:41:16,MPE,PhD,,True,Ignorant Lemur,True,False,False,False,False,False,False,True,False,False,False,False,"['monday', 'tuesday', 'wednesday', 'friday']",2,False,False,Team B,11,,,,,,,D,,,,,2,1.0,,True,['spikeball'],1,2025-04-24,False,True
2025-04-03 19:20:52,MPQ,PostDoc,,False,Authentic Dalmatian,False,False,False,True,True,False,False,False,False,False,False,False,[],2,False,False,Team B,,,,R,2,,,,,,,,1,0.5,,True,[],0,2025-04-28,False,True
2025-04-03 19:21:29,USM/LMU,PostDoc,,False,Memorable Squirrel,False,False,True,True,False,False,False,False,False,False,False,False,[],2,False,False,Team B,,,D,D,,,,,,,,,1,0.5,,False,"['running_sprints', 'volleyball']",2,DROPOUT,True,False
2025-03-26 13:45:38,MPQ,PhD,Badminton rackets x2,False,Woozy Keeshond,False,True,False,False,False,False,True,False,False,False,False,False,[],2,False,False,Team B,,R,,,,,D,,,,,,1,0.5,,True,[],0,DROPOUT,True,False
2025-03-26 10:57:35,MPE,PhD,,True,Dear Impala,True,False,False,False,False,False,False,False,False,False,False,True,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",2,False,False,Team B,03,,,,,,,,,,,5,2,1.0,,True,[],0,2025-04-28,False,True
2025-04-02 18:28:45,MPE,PostDoc,,False,Shady Turkey,False,False,True,False,False,False,False,False,False,False,True,False,[],2,False,False,Team B,,,1,,,,,,,,1,,2,1.0,,True,[],0,2025-04-23,False,True
2025-04-01 22:28:10,MPP,Master's Student,,False,Joyful Echidna,True,False,False,False,False,False,False,False,False,False,False,True,['friday'],2,False,False,Team B,18,,,,,,,,,,,3,2,1.0,,True,[],0,2025-04-25,False,True
2025-03-27 12:01:59,MPQ,PhD,spikeball set,False,Short Ostrich,False,False,True,False,False,False,False,True,False,False,False,False,[],2,False,False,Team B,,,1,,,,,3,,,,,2,1.0,,True,[],0,2025-04-23,False,True
2025-04-01 15:22:41,MPP,PhD,,False,Torn Gibbon,False,False,False,False,False,False,False,False,False,False,True,True,[],2,False,False,Team B,,,,,,,,,,,4,4,2,1.0,,True,[],0,2025-04-25,False,True
2025-04-03 09:24:15,MPQ,PostDoc,,False,Mellow Chinook,False,False,False,True,False,False,False,False,False,True,False,False,[],2,False,False,Team B,,,,R,,,,,1,,,,1,0.5,,True,[],0,2025-04-29,False,True
2025-04-03 10:32:39,MPQ,PostDoc,,False,Innocent Bison,False,True,False,False,False,False,True,False,False,False,False,False,[],2,False,False,Team B,,R,,,,,D,,,,,,1,0.5,,True,[],0,2025-04-25,False,True
2025-04-03 11:07:21,MPE,PhD,,True,Elliptical Hedgehog,True,False,False,False,False,False,False,False,False,False,True,False,"['monday', 'tuesday', 'wednesday', 'thursday']",2,False,False,Team B,15,,,,,,,,,,3,,2,1.0,,True,[],0,2025-04-28,False,True
2025-03-24 08:49:05,IPP,Other,,False,Indolent Hoopoe,False,False,False,True,False,False,False,False,False,True,False,False,[],2,False,False,Team B,,,,1,,,,,2,,,,1,0.5,,True,[],0,2025-04-30,False,True
2025-03-28 12:15:00,MPE,PhD,,True,Horrible Lobster,False,False,False,False,True,False,False,False,False,False,False,False,[],1,False,False,Team B,,,,,2,,,,,,,,1,1.0,,True,[],0,2025-04-30,False,True
2025-03-10 15:31:48,USM/LMU,PhD,Basketball,True,Blank Tiffany,True,True,False,False,False,False,False,False,False,False,False,False,['tuesday'],2,False,False,Team B,D,D,,,,,,,,,,,2,1.0,,True,"['ping_pong', 'basketball']",2,DROPOUT,True,False
2025-04-03 20:34:22,MPQ,PhD,,False,Upright Guppy,False,False,False,True,False,False,False,False,False,False,False,False,[],1,False,False,Team B,,,,1,,,,,,,,,0,0.0,,True,[],0,2025-04-28,False,True
2025-04-04 09:31:19,MPQ,PostDoc,,False,Hoarse Siberian,False,False,False,False,True,False,False,False,False,False,False,False,[],1,False,False,Team B,,,,,1,,,,,,,,1,1.0,,True,[],0,2025-04-23,False,True
2025-04-03 10:48:08,MPQ,PostDoc,,False,Organic Bear,False,False,False,False,False,False,False,True,False,False,False,False,[],1,False,False,Team B,,,,,,,,1,,,,,1,1.0,,True,[],0,2025-04-29,False,True
2025-04-04 10:52:13,MPQ,PhD,one badminton racket,False,Worthwhile Paddlefish,False,False,False,False,False,False,True,False,False,False,False,False,[],1,False,False,Team B,,,,,,,4,,,,,,1,1.0,,True,[],0,2025-04-30,False,True
2025-04-04 11:06:18,MPA,PostDoc,,False,Boring Mastiff,False,False,False,False,True,False,False,False,False,False,False,False,[],1,False,False,Team B,,,,,1,,,,,,,,1,1.0,,True,[],0,2025-04-30,False,True
2025-04-04 14:20:41,IPP,PhD,,False,Melodic Dormouse,False,False,False,False,False,False,False,False,False,True,False,False,[],1,False,False,Team B,,,,,,,,,1,,,,1,1.0,,True,[],0,2025-04-25,False,True
2025-04-02 23:28:22,MPQ,PhD,,False,Colossal Prawn,False,False,False,False,False,False,False,False,False,False,True,False,[],1,False,False,Team B,,,,,,,,,,,1,,1,1.0,,True,[],0,2025-05-01,False,True
2025-04-04 15:26:06,MPA,PhD,,False,Guilty Human,False,False,False,False,False,False,False,False,False,False,False,True,[],1,False,False,Team B,,,,,,,,,,,,1,1,1.0,,True,[],0,2025-04-23,False,True
2025-04-16 22:11:46,MPP,PostDoc,No,False,Velvety Seahorse,True,False,False,True,True,False,False,False,False,False,False,False,['thursday'],3,True,False,Team B,,,,R,2,,,,,,,,1,0.3333333333333333,,True,[],0,2025-04-28,False,True
2025-04-22 13:20:30,Other,PhD,Spikeball set,False,Tired Numbat,False,False,False,False,False,False,False,True,True,False,False,True,[],3,True,False,Team B,,,,,,,,3,,R,,2,2,0.6666666666666666,,True,[],0,2025-04-30,False,True
2025-04-23 19:41:30,MPA,PhD,,False,Bogus Wasp,False,True,False,False,False,False,False,False,False,False,False,False,[],1,True,False,Team B,,R,,,,,,,,,,,0,0.0,,True,[],0,2025-04-29,False,True
2025-04-28 17:27:46,MPE,Master's Student,,False,Favorable Neanderthal,True,False,False,False,False,False,False,False,False,False,True,False,"['tuesday', 'friday']",2,True,False,Team B,14,,,,,,,,,,5,,2,1.0,,True,[],0,2025-05-03,False,True
2025-04-03 22:02:43,USM/LMU,PhD,Tennis racket,False,Fearless Wrasse,False,False,False,False,False,True,False,False,False,False,False,True,[],2,False,False,Team B,,,,,,1,,,,,,6,2,1.0,,True,[],0,2025-04-30,False,True
2025-05-02 17:18:25,USM/LMU,Master's Student,No,False,Ill-informed Toucan,False,False,False,False,False,False,False,True,False,False,False,False,[],1,True,,Team B,,,,,,,,1,,,,,1,1.0,,True,[],0,2025-05-05,False,True
2025-05-02 23:38:31,MPE,PostDoc,"My tennis racket + other 2, one set of tennis balls",False,Noisy Quail,True,False,False,False,False,True,False,False,False,False,False,False,"['wednesday', 'thursday']",2,True,,Team B,07,,,,,2,,2,,,,,3,1.5,,True,[],0,2025-05-04,False,True
2025-04-25 13:54:03,USM/LMU,Master's Student,,True,Thorny Warthog,False,False,False,False,False,False,True,False,False,False,False,False,[],1,True,False,Team B,,,,,,,2,,,,,,1,1.0,,True,[],0,2025-04-28,False,True
2025-05-05 19:13:32,MPE,Master's Student,No,False,Slim Woodlouse,True,False,False,False,False,False,False,False,False,False,True,False,['friday'],2,True,,Team B,13,,,,,,,,,,6,,2,1.0,,False,[],0,,False,False
2025-05-06 22:26:25,MPQ,PhD,,False,Scratchy Mongoose,False,False,False,True,False,False,False,False,False,True,False,False,[],2,True,,Team B,,,,1,,,,,2,,,,0,0.0,True,False,[],0,,False,False
2025-05-07 09:15:57,MPQ,PhD,No,False,Coarse Bowfin,False,True,False,True,False,False,False,False,False,False,False,False,[],2,True,,Team B,,1,,1,,,,,,,,,0,0.0,True,False,[],0,,False,False
